Date,Open,High,Low,Close,Volume
24-Feb-12,38.66,38.68,38.19,38.28,17589412
23-Feb-12,38.06,38.52,37.75,38.49,31363508
22-Feb-12,38.30,38.39,37.90,38.07,23418176
21-Feb-12,38.65,38.98,38.41,38.46,22807470
17-Feb-12,38.60,38.64,38.23,38.47,28016341
16-Feb-12,37.15,38.12,37.05,38.00,22141431
15-Feb-12,38.08,38.40,37.31,37.40,26534874
14-Feb-12,38.23,38.26,37.44,37.92,27039262
13-Feb-12,38.08,38.34,37.61,38.30,24827981
10-Feb-12,37.22,37.77,37.11,37.61,22624780
9-Feb-12,38.60,38.68,37.84,37.86,28614498
8-Feb-12,38.05,38.35,37.97,38.30,23258667
7-Feb-12,37.86,38.12,37.70,37.87,21092892
6-Feb-12,38.06,38.32,37.80,38.14,23108329
3-Feb-12,38.27,38.50,38.05,38.28,41081315
2-Feb-12,37.69,38.16,37.42,37.55,26786875
1-Feb-12,37.89,38.03,37.50,37.60,41957763
31-Jan-12,37.53,37.54,36.93,37.30,29658089
30-Jan-12,36.66,37.17,36.36,37.01,24432067
27-Jan-12,37.23,37.66,37.15,37.21,27674802
26-Jan-12,37.88,38.10,37.25,37.49,33291241
25-Jan-12,37.36,37.82,37.12,37.60,29863012
24-Jan-12,37.18,37.89,36.80,37.66,25406126
23-Jan-12,37.31,37.94,37.27,37.66,27500781
20-Jan-12,36.78,37.40,36.62,37.36,34716500
19-Jan-12,36.84,37.15,36.71,36.93,37001975
18-Jan-12,34.54,36.68,34.53,36.54,55504941
17-Jan-12,34.85,35.68,34.50,34.91,55119029
13-Jan-12,35.92,35.92,35.92,35.92,0
12-Jan-12,36.82,37.05,36.17,36.85,39420935
11-Jan-12,35.80,36.74,35.66,36.66,29853149
10-Jan-12,36.07,36.35,35.76,36.05,35982879
9-Jan-12,35.44,35.68,34.99,35.30,23006529
6-Jan-12,35.69,35.77,35.14,35.36,33162979
5-Jan-12,34.71,35.92,34.40,35.68,38383814
4-Jan-12,34.44,35.15,34.33,34.95,36576187
3-Jan-12,34.06,35.19,34.01,34.98,44108273
30-Dec-11,33.25,33.25,33.25,33.25,0
29-Dec-11,32.71,33.52,32.71,33.42,19793016
28-Dec-11,32.99,33.09,32.57,32.65,19248511
27-Dec-11,33.22,33.69,33.03,33.03,16897090
23-Dec-11,33.57,33.57,33.57,33.57,0
22-Dec-11,32.69,33.55,32.54,33.45,35544903
21-Dec-11,32.00,32.41,31.90,32.32,30898992
20-Dec-11,31.40,32.44,31.24,32.21,49092903
19-Dec-11,31.87,31.90,30.42,30.70,47388002
16-Dec-11,32.16,32.60,31.81,31.89,52598292
15-Dec-11,32.10,32.28,31.57,31.76,33457250
14-Dec-11,30.88,31.94,30.83,31.51,41295653
13-Dec-11,32.37,32.63,30.87,31.29,49484808
12-Dec-11,32.55,32.60,31.76,32.04,35986439
9-Dec-11,32.36,33.31,32.36,33.18,39106916
8-Dec-11,33.55,33.70,32.08,32.22,47788873
7-Dec-11,32.82,34.19,32.72,34.00,44722793
6-Dec-11,33.26,33.58,32.68,33.23,38788222
5-Dec-11,33.64,34.10,33.22,33.51,52216056
2-Dec-11,30.88,33.27,30.81,32.33,90519608
1-Dec-11,30.86,30.97,30.03,30.46,33189688
30-Nov-11,30.15,31.00,29.80,30.97,61412527
29-Nov-11,28.98,29.13,28.48,28.56,45104651
28-Nov-11,29.71,30.07,28.82,29.16,45285387
25-Nov-11,28.28,29.17,28.28,28.48,21423184
23-Nov-11,28.38,28.38,28.38,28.38,0
22-Nov-11,29.90,30.10,29.38,29.41,36466171
21-Nov-11,30.02,30.19,29.60,29.91,39666395
18-Nov-11,30.67,30.84,30.33,30.62,39033896
17-Nov-11,31.40,31.50,30.34,30.49,55130024
16-Nov-11,32.34,32.49,31.40,31.47,40761704
15-Nov-11,32.09,33.11,32.08,32.70,31265984
14-Nov-11,32.95,32.98,32.22,32.55,27596216
11-Nov-11,33.28,33.85,33.02,33.28,29989577
10-Nov-11,32.92,33.23,32.10,32.74,30431632
9-Nov-11,33.84,33.98,32.38,32.54,53000040
8-Nov-11,34.53,35.18,34.02,35.02,30194985
7-Nov-11,34.03,34.34,33.71,34.24,25935525
4-Nov-11,33.99,34.06,33.45,33.97,30867231
3-Nov-11,34.12,34.52,32.84,34.38,40087752
2-Nov-11,33.71,33.74,33.06,33.64,34342387
1-Nov-11,32.47,33.64,31.84,32.71,74056271
31-Oct-11,35.93,36.00,34.73,34.76,46438679
28-Oct-11,36.61,36.98,36.19,36.69,39893754
27-Oct-11,36.56,37.54,35.70,36.67,76482945
26-Oct-11,34.11,34.41,33.50,34.18,36360840
25-Oct-11,34.18,34.25,33.36,33.49,38683534
24-Oct-11,33.61,34.69,33.57,34.57,45697155
21-Oct-11,33.48,34.04,33.01,33.42,48445287
20-Oct-11,32.32,33.19,31.67,33.13,41662534
19-Oct-11,32.77,34.01,32.03,32.25,50121949
18-Oct-11,31.36,33.42,31.14,32.87,64392307
17-Oct-11,31.64,32.09,30.97,31.04,40869712
14-Oct-11,31.87,32.32,31.40,31.89,51905068
13-Oct-11,32.45,32.49,30.92,31.60,78838174
12-Oct-11,32.76,33.87,32.69,33.20,55462460
11-Oct-11,31.98,32.68,31.41,32.30,38169186
10-Oct-11,31.60,32.32,31.58,32.30,37324743
7-Oct-11,32.58,32.61,30.65,30.70,49326167
6-Oct-11,30.71,32.46,30.42,32.38,53216608
5-Oct-11,30.23,31.17,29.40,30.84,51117106
4-Oct-11,28.25,30.43,27.85,30.26,69815353
3-Oct-11,30.03,30.70,28.64,28.65,51002691
